2016-08-02 00:00:00,Contract,LastClose,ATR20,PC2016-08-02 00:00:00,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,LastSEA,LastSRUN,vSTART,usdATR,QTY,contractValue,Close2016-08-02 00:00:00,RiskOn,group,PC2016-08-01 00:00:00,Close2016-08-01 00:00:00,SEA2016-08-02 00:00:00,SRUN2016-08-02 00:00:00,SEA2016-08-01 00:00:00,SRUN2016-08-01 00:00:00,LastSIG,LastSAFEf,finalQTY,SIG2016-08-01 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2016-08-02 00:00:00,0.5SIG2016-08-01 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2016-08-02 00:00:00,0.75SIG2016-08-01 00:00:00,1LastSAFEf,1finalQTY,1SIG2016-08-02 00:00:00,1SIG2016-08-01 00:00:00,Anti1LastSIG,AntiSEA,prevACT,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting4,RiskOff
TF,@TFSU6,1199.9,14.785,-0.0143748973222,-1.0,1.0,1.0,1.0,1.0,-19.0,2016-07-06,1478.5,2.0,119990.0,1199.9,1.0,index,,,1.0,-19.0,,,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,-1,-1,-1.0,1,-1.0,1,-1,1,1,1,-1
TU,@TUU6,109.46875,0.09765625,7.13724930412e-05,1.0,1.0,1.0,1.0,1.0,6.0,2016-07-25,195.3125,11.0,218937.5,109.46875,-1.0,rates,,,1.0,6.0,,,1.0,1.0,11.0,1.0,1.0,11.0,1.0,,2.0,11.0,1.0,,2.0,11.0,1.0,,-1,-1,1.0,-1,1.0,-1,-1,1,1,1,1
TY,@TYU6,132.546875,0.6078125,-0.00188257442052,-1.0,-1.0,-1.0,-1.0,1.0,12.0,2016-07-15,607.8125,4.0,132546.875,132.546875,-1.0,rates,,,1.0,12.0,,,1.0,1.0,4.0,1.0,1.0,4.0,-1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,1,-1,-1.0,1,1.0,-1,1,1,1,1,1
US,@USU6,172.34375,1.7828125,-0.00720072007201,-1.0,-1.0,-1.0,-1.0,1.0,9.0,2016-07-20,1782.8125,2.0,172343.75,172.34375,-1.0,rates,,,1.0,9.0,,,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,,1.0,2.0,-1.0,,2.0,2.0,-1.0,,1,-1,-1.0,1,1.0,-1,1,1,1,1,1
VX,@VXQ6,14.225,0.7338168355,0.0440366972477,1.0,1.0,-1.0,1.0,1.0,-7.0,2016-07-22,733.8168355,3.0,14225.0,14.225,-1.0,index,,,1.0,-7.0,,,-1.0,1.0,3.0,-1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,-1,1.0,-1,-1.0,1,-1,-1,1,-1,1
W,@WU6,401.25,13.0875,-0.0116995073892,-1.0,-1.0,1.0,-1.0,1.0,-2.0,2016-07-25,654.375,4.0,20062.5,401.25,1.0,grain,,,1.0,-2.0,,,-1.0,1.0,4.0,-1.0,1.0,4.0,1.0,,2.0,4.0,-1.0,,2.0,4.0,-1.0,,1,-1,-1.0,1,-1.0,1,1,1,1,1,-1
YA,APU6,5500.0,51.4,-0.00829426613776,-1.0,1.0,-1.0,1.0,-1.0,-2.0,2016-06-28,977.371,3.0,104582.5,5500.0,1.0,index,,,-1.0,-2.0,,,1.0,1.0,3.0,1.0,1.0,3.0,-1.0,,2.0,3.0,1.0,,2.0,3.0,1.0,,-1,1,-1.0,1,1.0,-1,1,1,1,1,-1
YB,HBSU6,98.24,0.0285,0.000611122428193,1.0,1.0,1.0,1.0,-1.0,-8.0,2016-07-21,52.02504,39.0,179331.2256,98.24,-1.0,rates,,,-1.0,-8.0,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,0.0,1.0,,2.0,0.0,1.0,,-1,1,1.0,-1,1.0,-1,-1,1,-1,-1,1
YM,@YMU6,18248.0,139.1,-0.00425624795373,-1.0,-1.0,1.0,-1.0,1.0,-10.0,2016-07-19,695.5,3.0,91240.0,18248.0,1.0,index,,,1.0,-10.0,,,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,3.0,-1.0,,2.0,3.0,-1.0,,1,-1,-1.0,1,-1.0,1,1,1,1,1,-1
YT2,HTSU6,98.67,0.058,0.000405556118828,1.0,1.0,1.0,1.0,1.0,28.0,2016-06-23,123.52144,17.0,210135.5256,98.67,-1.0,rates,,,1.0,28.0,,,1.0,1.0,17.0,1.0,2.0,17.0,1.0,,2.0,17.0,1.0,,2.0,17.0,1.0,,-1,-1,1.0,-1,1.0,-1,-1,1,1,1,1
YT3,HXSU6,98.17,0.071,0.000254725151561,1.0,1.0,1.0,-1.0,1.0,11.0,2016-07-18,432.0208,5.0,597344.816,98.17,-1.0,rates,,,1.0,11.0,,,1.0,1.0,5.0,1.0,1.0,5.0,1.0,,1.0,5.0,1.0,,2.0,5.0,-1.0,,1,-1,1.0,-1,1.0,-1,1,1,1,1,1
